arabic_full,arabic_word,transliteration,english,category,type,notes,dialect,audio_path
أبغى,أبغى,abgha,I want,Verb,Present (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أبغى.mp3
تبغى,تبغى,tibgha,You want,Verb,Present (You),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تبغى.mp3
تبغاه,تبغاه,tibghaah,You want it,Verb,Present (You + it object pronoun),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تبغاه.mp3
تبي (بغي/بغى),تبي,tabi (baghaa),To want (Shorter Root/I form variant),Verb,-,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تبي.mp3
تبي,تبي,tabi,You want,Verb,Present (You - shorter variant),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تبي.mp3
ما أبي / ما أبغى,ما أبي / ما أبغى,maa abi / maa abgha,I don't want,Verb,Present Negative (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ما_أبي___ما_أبغى.mp3
نبغى,نبغى,nabgha,We want,Verb,Present (We),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نبغى.mp3
صدق (صدّق),صدق,saddaq (ṣaddaqa),To believe (Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\صدق.mp3
ما صدق,ما صدق,maa saddaq,He didn't believe,Verb,Past Negative (He),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ما_صدق.mp3
أصدق,أصدق,aṣaddiq,I believe,Verb,Present (I),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أصدق.mp3
ما أصدق,ما أصدق,maa aṣaddiq,I can't believe,Verb,Present Negative (I),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ما_أصدق.mp3
أروح (راح),أروح,aruuḥ (raaḥa),To go (I form / Root),Verb,-,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أروح.mp3
أروح,أروح,aruuḥ,I go,Verb,Present (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أروح.mp3
تروح,تروح,truuh,You go,Verb,Present (You),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تروح.mp3
نروح,نروح,nrooḥ,We go,Verb,Present (We),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نروح.mp3
بنروح,بنروح,binruuḥ,We will go,Verb,Future (We),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\بنروح.mp3
ذهب (ذهب),ذهب,dhahab,To go (Formal Root),Verb,-,,MSA,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ذهب.mp3
ذهبت,ذهبت,dhahabtu,I went,Verb,Past (I),,MSA,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ذهبت.mp3
أتعلم (تعلّم),أتعلم,atʿallam (taʿallama),To learn (I form / Root),Verb,-,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أتعلم.mp3
أتعلم,أتعلم,atʿallam,I learn / am learning,Verb,Present (I) / Infinitive,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أتعلم.mp3
نسافر (سافر),نسافر,nsaafir (saafara),To travel (We form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نسافر.mp3
حنسافر,حنسافر,ḥansaafir,We will travel,Verb,Future (We),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\حنسافر.mp3
أسافر,أسافر,asaafir,I travel,Verb,Present (I) / Infinitive,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أسافر.mp3
أجي (جاء),أجي,aaji (jaaʾa),To come (I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أجي.mp3
أجي,أجي,aaji,I come / will come,Verb,Present (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أجي.mp3
تجي,تجي,tiji,You come,Verb,Present (You),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تجي.mp3
تعالى (تعال),تعالى,taʿaal (taʿaalaa),To come (Imperative Root),Verb,-,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تعالى.mp3
تعال,تعال,taʿaal,Come,Verb,Imperative (You),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تعال.mp3
اتصل (اتّصل),اتصل,ittiṣal (ittiṣala),To call / connect (Past I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\اتصل.mp3
اتصلت,اتصلت,ittiṣalt,I called,Verb,Past (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\اتصلت.mp3
دقيت,دقيت,daqqeet,You called / knocked,Verb,Past (You),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\دقيت.mp3
رحت (راح),رحت,ruḥt (raaḥa),To go / went (Past I form / Root),Verb,-,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\رحت.mp3
رحت,رحت,ruḥt,I went,Verb,Past (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\رحت.mp3
أقدر (قدر),أقدر,aqdar (qadara),To be able / can (I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أقدر.mp3
أقدر,أقدر,aqdar,I can / could,Verb,Present (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أقدر.mp3
تقدر,تقدر,tiqdar,You can / could,Verb,Present (You),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تقدر.mp3
نقدر,نقدر,niqdar,We can / could,Verb,Present (We),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نقدر.mp3
أخلص (أخلص),أخلص,akhliṣ (akhlaṣa),To finish (I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أخلص.mp3
أخلص,أخلص,akhliṣ,I finish,Verb,Present (I) / Infinitive,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أخلص.mp3
نخلص,نخلص,nkhalliṣ,We finish,Verb,Present (We),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نخلص.mp3
قطعت (قطع),قطعت,qaṭʿat (qaṭaʿa),To cut / go out (Past feminine form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قطعت.mp3
قطعت,قطعت,qaṭʿat,It (feminine) cut / went out,Verb,Past (She/It),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قطعت.mp3
أحب (أحبّ),أحب,uḥibb (aḥabba),To like / love (I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أحب.mp3
أحب,أحب,uḥibb,I like / love,Verb,Present (I),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أحب.mp3
تحب,تحب,tuḥibb,She likes / loves,Verb,Present (She),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تحب.mp3
ما تحب,ما تحب,maa tuḥibb,She doesn't like,Verb,Present Negative (She),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ما_تحب.mp3
أقرا (قرأ),أقرا,aqra (qaraʾa),To read (I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أقرا.mp3
أقرا,أقرا,aqra,I read,Verb,Present (I),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أقرا.mp3
أكتب (كتب),أكتب,aktub (kataba),To write (I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أكتب.mp3
أكتب,أكتب,aktub,I write / am writing,Verb,Present (I),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أكتب.mp3
نزور (زار),نزور,nizuur (zaara),To visit (We form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نزور.mp3
نزور,نزور,nizuur,We visit,Verb,Present (We),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نزور.mp3
أزور,أزور,azuur,I visit,Verb,Present (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أزور.mp3
فهمت (فهم),فهمت,fihimt (fahima),To understand (Past I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\فهمت.mp3
ما فهمت,ما فهمت,maa fihimt,I didn't understand,Verb,Past Negative (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ما_فهمت.mp3
تشرب (شرب),تشرب,tishrab (shariba),To drink (You form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تشرب.mp3
تشرب,تشرب,tishrab,You drink,Verb,Present (You) / Infinitive,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تشرب.mp3
تعرف (عرف),تعرف,taʿrif (ʿarafa),To know (You form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تعرف.mp3
تعرف,تعرف,taʿrif,You know,Verb,Present (You),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تعرف.mp3
تدور (دار),تدور,taduur (daara),To look for (You form / Root - idiomatically),Verb,-,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تدور.mp3
تدور,تدور,taduur,You are looking for,Verb,Present (You),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تدور.mp3
أمشي (مشى),أمشي,amshi (masha),To walk (I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أمشي.mp3
أمشي,أمشي,amshi,I walk / to walk (used after Taliʿ/Rayiḥ),Verb,Present (I) / Infinitive,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أمشي.mp3
نتمشى (تمشّى),نتمشى,nitmasha (tamasha),To walk casually / stroll (We form / Root),Verb,-,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نتمشى.mp3
نتمشى,نتمشى,nitmasha,We walk / stroll,Verb,Present (We) / Infinitive,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نتمشى.mp3
يمدينا (أمكن),يمدينا,yimdiina (amkana),It is possible for us / we can (Verb + us object pronoun),Verb,Present,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\يمدينا.mp3
نجرّب (جرّب),نجرّب,njarrib (jarraba),To try (We form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نجر_ب.mp3
أجرب,أجرب,ajarrib,I try,Verb,Present (I) / Infinitive,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أجرب.mp3
نجرب,نجرب,njarrib,We try,Verb,Present (We),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نجرب.mp3
استنى (استنّى),استنى,istanna (istanna),To wait (Past I form / Root),Verb,-,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\استنى.mp3
استنيت,استنيت,Istannayt,I waited,Verb,Past (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\استنيت.mp3
لقي (لقى),لقي,laqiya (laqiya),To find (Past I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\لقي.mp3
لقيت,لقيت,Laqeet,I found,Verb,Past (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\لقيت.mp3
ألاقي / ألقى,ألاقي / ألقى,alaagi / alga,I find,Verb,Present (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ألاقي___ألقى.mp3
تساعد (ساعد),تساعد,tsaʿid (saaʿada),To help (You form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تساعد.mp3
تساعدني,تساعدني,tsaʿidni,You help me,Verb,Present (You + me object pronoun),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تساعدني.mp3
نلحق (لحق),نلحق,nilḥaq (laḥiqa),To make it / catch (We form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نلحق.mp3
نلحق,نلحق,nilḥaq,We make it / catch,Verb,Present (We),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نلحق.mp3
يقفلون (أقفل),يقفلون,yiqfiloon (aqfala),To close (They form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\يقفلون.mp3
يقفلون,يقفلون,yiqfiloon,They close,Verb,Present (They),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\يقفلون.mp3
أفكر (فكّر),أفكر,afakkir (fakkara),To think (I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أفكر.mp3
أفكر,أفكر,Afakkir,I think / am thinking,Verb,Present (I),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أفكر.mp3
مفكر,مفكر,mfakkir,Thinking,Verb,Participle,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مفكر.mp3
كنت مفكر,كنت مفكر,kunt mfakkir,I was thinking,Verb,Past State / Continuous (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كنت_مفكر.mp3
أغير (غيّر),أغير,aghayyir (ghayyara),To change (I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أغير.mp3
أغير,أغير,aghayyir,I change / to change,Verb,Present (I) / Infinitive,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أغير.mp3
قرر (قرّر),قرر,qarrar (qarrara),To decide (Past I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قرر.mp3
قررت,قررت,Qarrart,I decided,Verb,Past (I),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قررت.mp3
أزور (زار),أزور,azuur (zaara),To visit (I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أزور.mp3
أزور,أزور,azuur,I visit / am visiting,Verb,Present (I),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أزور.mp3
أطبخ (طبخ),أطبخ,aṭbukh (ṭabakha),To cook (I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أطبخ.mp3
أطبخ,أطبخ,aṭbukh,I cook / to cook,Verb,Present (I) / Infinitive,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أطبخ.mp3
أشتري (اشترى),أشتري,ashtari (ishtara),To buy (I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أشتري.mp3
أشتري,أشتري,ashtari,I buy / to buy,Verb,Present (I) / Infinitive,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أشتري.mp3
وصل (وصل),وصل,waṣal (waṣala),To arrive (Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\وصل.mp3
بنوصل,بنوصل,Binwasal,We will arrive,Verb,Future (We),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\بنوصل.mp3
بوصل,بوصل,bawsal,I will arrive,Verb,Future (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\بوصل.mp3
وصلت,وصلت,Wṣalt,I arrived,Verb,Past (I),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\وصلت.mp3
أعرف (عرف),أعرف,aʿrif (ʿarafa),To know (I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أعرف.mp3
أعرفه,أعرفه,aʿrifuh,I know him / used to know him,Verb,Present (I + him object pronoun - used in Past Habitual),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أعرفه.mp3
كان يعرفه,كان يعرفه,kunt aʿrifuh,I used to know him,Verb,Past Habitual (I + him object pronoun),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كان_يعرفه.mp3
كنت ناوي,كنت ناوي,kunt naawi,I was planning / intending,Verb,Past State (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كنت_ناوي.mp3
ناوي,ناوي,naawi,Planning / intending,Verb,Participle,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ناوي.mp3
حسب (حسب),حسب,ḥasaba (ḥasaba),To think / calculate (Past I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\حسب.mp3
حسبت,حسبت,ḥasabt,I thought,Verb,Past (I),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\حسبت.mp3
أسوي (سوّى),أسوي,asawwi (sawwa),To do / make (I form / Root),Verb,-,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أسوي.mp3
أسوي,أسوي,asawwi,I do / make,Verb,Present (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أسوي.mp3
تسوي,تسوي,tsawwi,You do / make,Verb,Present (You),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تسوي.mp3
أحس (حسّ),أحس,aḥiss (ḥassa),To feel / think (I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أحس.mp3
أحس,أحس,aḥiss,I feel / think,Verb,Present (I),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أحس.mp3
حسّيت,حسّيت,Ḥassayt,I felt / noticed,Verb,Past (I),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\حس_يت.mp3
ما حسّيت,ما حسّيت,maa ḥassayt,I didn't feel / notice,Verb,Past Negative (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ما_حس_يت.mp3
صار (صار),صار,ṣar (ṣaara),To happen / become (Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\صار.mp3
صار,صار,ṣar,It happened / became,Verb,Past (He/It),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\صار.mp3
صرت,صرت,ṣirt,I became / started (doing),Verb,Past (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\صرت.mp3
دق (دقّ),دق,daqq (daqqa),To call / knock (Past You form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\دق.mp3
دقيت,دقيت,daqqeet,You called / knocked,Verb,Past (You),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\دقيت.mp3
ننسى (نسي),ننسى,nansa (nasiya),To forget (Past I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ننسى.mp3
نسيت,نسيت,Naseet,I forgot,Verb,Past (I),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نسيت.mp3
تذكّر (تذكّر),تذكّر,tadhakkar (tadhakkar),To remember (Past I form / Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تذك_ر.mp3
تذكرت,تذكرت,Tadhakkart,I remembered,Verb,Past (I),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تذكرت.mp3
