arabic_full,arabic_word,transliteration,english,category,type,notes,dialect,audio_path
اتصلت,,ittiṣalt,I called,Verb,Past (I),,Saudi,
دقيت,,daqqeet,You called / knocked,Verb,Past (You),,Saudi,
رحت (راح),,ruḥt (raaḥa),To go / went (Past I form / Root),Verb,-,,Saudi,
رحت,,ruḥt,I went,Verb,Past (I),,Saudi,
أقدر (قدر),,aqdar (qadara),To be able / can (I form / Root),Verb,-,,Both,
أقدر,,aqdar,I can / could,Verb,Present (I),,Saudi,
تقدر,,tiqdar,You can / could,Verb,Present (You),,Saudi,
نقدر,,niqdar,We can / could,Verb,Present (We),,Saudi,
أخلص (أخلص),,akhliṣ (akhlaṣa),To finish (I form / Root),Verb,-,,Both,
أخلص,,akhliṣ,I finish,Verb,Present (I) / Infinitive,,Both,
نخلص,,nkhalliṣ,We finish,Verb,Present (We),,Saudi,
قطعت (قطع),,qaṭʿat (qaṭaʿa),To cut / go out (Past feminine form / Root),Verb,-,,Both,
قطعت,,qaṭʿat,It (feminine) cut / went out,Verb,Past (She/It),,Saudi,
أحب (أحبّ),,uḥibb (aḥabba),To like / love (I form / Root),Verb,-,,Both,
أحب,,uḥibb,I like / love,Verb,Present (I),,Both,
تحب,,tuḥibb,She likes / loves,Verb,Present (She),,Both,
ما تحب,,maa tuḥibb,She doesn't like,Verb,Present Negative (She),,Saudi,
أقرا (قرأ),,aqra (qaraʾa),To read (I form / Root),Verb,-,,Both,
أقرا,,aqra,I read,Verb,Present (I),,Both,
أكتب (كتب),,aktub (kataba),To write (I form / Root),Verb,-,,Both,
أكتب,,aktub,I write / am writing,Verb,Present (I),,Both,
نزور (زار),,nizuur (zaara),To visit (We form / Root),Verb,-,,Both,
نزور,,nizuur,We visit,Verb,Present (We),,Saudi,
أزور,,azuur,I visit,Verb,Present (I),,Saudi,
فهمت (فهم),,fihimt (fahima),To understand (Past I form / Root),Verb,-,,Both,
ما فهمت,,maa fihimt,I didn't understand,Verb,Past Negative (I),,Saudi,
تشرب (شرب),,tishrab (shariba),To drink (You form / Root),Verb,-,,Both,
تشرب,,tishrab,You drink,Verb,Present (You) / Infinitive,,Saudi,
تعرف (عرف),,taʿrif (ʿarafa),To know (You form / Root),Verb,-,,Both,
تعرف,,taʿrif,You know,Verb,Present (You),,Saudi,
تدور (دار),,taduur (daara),To look for (You form / Root - idiomatically),Verb,-,,Saudi,
تدور,,taduur,You are looking for,Verb,Present (You),,Saudi,
أمشي (مشى),,amshi (masha),To walk (I form / Root),Verb,-,,Both,
أمشي,,amshi,I walk / to walk (used after Taliʿ/Rayiḥ),Verb,Present (I) / Infinitive,,Saudi,
نتمشى (تمشّى),,nitmasha (tamasha),To walk casually / stroll (We form / Root),Verb,-,,Saudi,
نتمشى,,nitmasha,We walk / stroll,Verb,Present (We) / Infinitive,,Saudi,
يمدينا (أمكن),,yimdiina (amkana),It is possible for us / we can (Verb + us object pronoun),Verb,Present,,Saudi,
نجرّب (جرّب),,njarrib (jarraba),To try (We form / Root),Verb,-,,Both,
أجرب,,ajarrib,I try,Verb,Present (I) / Infinitive,,Both,
نجرب,,njarrib,We try,Verb,Present (We),,Saudi,
استنى (استنّى),,istanna (istanna),To wait (Past I form / Root),Verb,-,,Saudi,
استنيت,,Istannayt,I waited,Verb,Past (I),,Saudi,
لقي (لقى),,laqiya (laqiya),To find (Past I form / Root),Verb,-,,Both,
لقيت,,Laqeet,I found,Verb,Past (I),,Saudi,
ألاقي / ألقى,,alaagi / alga,I find,Verb,Present (I),,Saudi,
تساعد (ساعد),,tsaʿid (saaʿada),To help (You form / Root),Verb,-,,Both,
تساعدني,,tsaʿidni,You help me,Verb,Present (You + me object pronoun),,Saudi,
نلحق (لحق),,nilḥaq (laḥiqa),To make it / catch (We form / Root),Verb,-,,Both,
نلحق,,nilḥaq,We make it / catch,Verb,Present (We),,Saudi,
يقفلون (أقفل),,yiqfiloon (aqfala),To close (They form / Root),Verb,-,,Both,
يقفلون,,yiqfiloon,They close,Verb,Present (They),,Both,
أفكر (فكّر),,afakkir (fakkara),To think (I form / Root),Verb,-,,Both,
أفكر,,Afakkir,I think / am thinking,Verb,Present (I),,Both,
مفكر,,mfakkir,Thinking,Verb,Participle,,Saudi,
كنت مفكر,,kunt mfakkir,I was thinking,Verb,Past State / Continuous (I),,Saudi,
أغير (غيّر),,aghayyir (ghayyara),To change (I form / Root),Verb,-,,Both,
أغير,,aghayyir,I change / to change,Verb,Present (I) / Infinitive,,Both,
قرر (قرّر),,qarrar (qarrara),To decide (Past I form / Root),Verb,-,,Both,
قررت,,Qarrart,I decided,Verb,Past (I),,Both,
أزور (زار),,azuur (zaara),To visit (I form / Root),Verb,-,,Both,
أزور,,azuur,I visit / am visiting,Verb,Present (I),,Both,
أطبخ (طبخ),,aṭbukh (ṭabakha),To cook (I form / Root),Verb,-,,Both,
أطبخ,,aṭbukh,I cook / to cook,Verb,Present (I) / Infinitive,,Both,
أشتري (اشترى),,ashtari (ishtara),To buy (I form / Root),Verb,-,,Both,
أشتري,,ashtari,I buy / to buy,Verb,Present (I) / Infinitive,,Both,
وصل (وصل),,waṣal (waṣala),To arrive (Root),Verb,-,,Both,
بنوصل,,Binwasal,We will arrive,Verb,Future (We),,Saudi,
بوصل,,bawsal,I will arrive,Verb,Future (I),,Saudi,
وصلت,,Wṣalt,I arrived,Verb,Past (I),,Both,
أعرف (عرف),,aʿrif (ʿarafa),To know (I form / Root),Verb,-,,Both,
أعرفه,,aʿrifuh,I know him / used to know him,Verb,Present (I + him object pronoun - used in Past Habitual),,Saudi,
كان يعرفه,,kunt aʿrifuh,I used to know him,Verb,Past Habitual (I + him object pronoun),,Saudi,
كنت ناوي,,kunt naawi,I was planning / intending,Verb,Past State (I),,Saudi,
ناوي,,naawi,Planning / intending,Verb,Participle,,Saudi,
حسب (حسب),,ḥasaba (ḥasaba),To think / calculate (Past I form / Root),Verb,-,,Both,
حسبت,,ḥasabt,I thought,Verb,Past (I),,Both,
أسوي (سوّى),,asawwi (sawwa),To do / make (I form / Root),Verb,-,,Saudi,
أسوي,,asawwi,I do / make,Verb,Present (I),,Saudi,
تسوي,,tsawwi,You do / make,Verb,Present (You),,Saudi,
أحس (حسّ),,aḥiss (ḥassa),To feel / think (I form / Root),Verb,-,,Both,
أحس,,aḥiss,I feel / think,Verb,Present (I),,Both,
حسّيت,,Ḥassayt,I felt / noticed,Verb,Past (I),,Both,
ما حسّيت,,maa ḥassayt,I didn't feel / notice,Verb,Past Negative (I),,Saudi,
صار (صار),,ṣar (ṣaara),To happen / become (Root),Verb,-,,Both,
صار,,ṣar,It happened / became,Verb,Past (He/It),,Saudi,
صرت,,ṣirt,I became / started (doing),Verb,Past (I),,Saudi,
دق (دقّ),,daqq (daqqa),To call / knock (Past You form / Root),Verb,-,,Both,
دقيت,,daqqeet,You called / knocked,Verb,Past (You),,Saudi,
ننسى (نسي),,nansa (nasiya),To forget (Past I form / Root),Verb,-,,Both,
نسيت,,Naseet,I forgot,Verb,Past (I),,Both,
تذكّر (تذكّر),,tadhakkar (tadhakkar),To remember (Past I form / Root),Verb,-,,Both,
تذكرت,,Tadhakkart,I remembered,Verb,Past (I),,Both,
أرسل (أرسل),,arsal (arsala),To send (Past I form / Root),Verb,-,,Both,
أرسلت,,Arsalt,I sent,Verb,Past (I),,Both,
أكمل (أكمل),,akammil (akmala),To continue / complete (I form / Root),Verb,-,,Both,
أكمل,,akammil,I continue / am continuing,Verb,Present (I),,Both,
بدأ (بدأ),,badaʾa (badaʾa),To start (Past I form + object pronoun / Root),Verb,-,,Both,
بدأته,,badaʾtuh,I started it,Verb,Past (I + it object pronoun),,Both,
أهتم (اهتمّ),,ahtamm (ihtamma),To care / pay attention (I form / Root),Verb,-,,Both,
أهتم,,ahtamm,I care / pay attention,Verb,Present (I),,Both,
مرّ (مرّ),,marra (marra),To pass by (Past I form / Root),Verb,-,,Both,
أمر,,amurr,I pass by,Verb,Present (I),,Saudi,
مرّيت,,Mar-rayt,I passed by,Verb,Past (I),,Saudi,
تسأل (سأل),,tisaaʾal (saʾala),To ask (She form / Root),Verb,-,,Both,
كانت تسأل,,kaanat tisaaʾal,She was asking,Verb,Past Continuous (She),,Saudi,
نمشي (مشى),,nimshi (masha),To walk / go (We form / Root),Verb,-,,Both,
نمشي,,nimshi,We go / walk,Verb,Present (We),,Both,
يمشي,,yimshi,He/It walks / goes,Verb,Present (He/It),,Both,
استوعب (استوعب),,istaawʿaba (istaawʿaba),To process / realize (Past I form / Root),Verb,-,,Both,
ما استوعبت,,maa istaawʿabt,I didn't process / realize,Verb,Past Negative (I),,Saudi,
قعد (قعد),,qaʿada (qaʿada),To sit (Past We form / Root - used for continuous),Verb,-,,Both,
قعدنا,,Qaʿadna,We sat / kept doing,Verb,Past Continuous (We),,Saudi,
نضحك (ضحك),,niḍḥak (ḍaḥika),To laugh (We form / Root),Verb,-,,Both,
نضحك,,niḍḥak,We laugh / to laugh,Verb,Present (We) / Infinitive,,Both,
لا تضحك,,laa tiḍḥak,Don’t laugh,Verb,Imperative Negative (You),,Saudi,
طار (طار),,ṭaar (ṭaara),To fly (Past He/It form / Root),Verb,-,,Both,
طار,,ṭaar,It flew,Verb,Past (He/It),,Both,
انبسط (انبسط),,inbasaṭ (inbasaṭa),To be happy / have fun (Past I form / Root),Verb,-,,Both,
انبسطت,,Inbasaṭt,I was happy / had fun,Verb,Past (I),,Saudi,
استمتع (استمتع),,istamtaʿ (istamtaʿa),To enjoy (Past I form / Root),Verb,-,,Both,
استمتعت,,istamtaʿt,I enjoyed,Verb,Past (I),,Both,
تقبّل (تقبّل),,taqabbal (taqabbala),To accept (They form / Root),Verb,-,,Both,
يتقبلون,,yitqabbaloon,They accept,Verb,Present (They),,Saudi,
جاء (جاء),,jaaʾa (jaaʾa),To come (Past He form / Root),Verb,-,,Both,
جا,,jaa,He came,Verb,Past (He),,Saudi,
أرد (ردّ),,arudd (radda),To reply (I form / Root),Verb,-,,Both,
أرد,,arudd,I reply / to reply,Verb,Present (I) / Infinitive,,Both,
شرّف (شرّف),,sharraf (sharrafa),To honor (Past form + pronoun),Verb,-,,Both,
شرفتني,,sharaftani,You honored me,Verb,Past (You masculine singular + me object pronoun),,Both,
شرفتونا,,sharaftūna,You honored us,Verb,Past (You plural + us object pronoun),,Both,
ألماني,,almaani,German (person/language),Noun,,,Both,
صوت,,ṣoot,Voice,Noun,,,Both,
جوال,,jawwaal,Mobile phone,Noun,,,Saudi,
خالد,,khaalid,Khalid (name),Noun,,,N/A,
المدير,,almudiir,The manager,Noun,,,Both,
أختي,,ukhti,My sister,Noun,,,Saudi,
أخت,,ukht,Sister,Noun,,,Both,
خطتي,,khuttati,My plan,Noun,,,Saudi,
الخطة,,alkhutta,The plan,Noun,,,Both,
أمك,,ummak,Your mom,Noun,,,Saudi,
أمي,,ummi,My mom,Noun,,,Saudi,
أم,,umm,Mom,Noun,,,Both,
رأيها,,ra’yaha,Her opinion,Noun,,,Both,
رأي,,raʾy,Opinion,Noun,,,Both,
كلام,,kalaam,Speech / words / what someone said,Noun,,,Both,
كلامي,,kalaami,My words,Noun,,,Saudi,
كلامك,,kalaamak,Your words,Noun,,,Saudi,
الشغل,,ash-shughl,The work / job,Noun,,,Saudi,
عربي,,ʿArabi,Arabic,Noun,,,Both,
صاحبي,,ṣaaḥbi,My friend,Noun,,,Saudi,
صاحب,,ṣaaḥib,Friend,Noun,,,Both,
الرياض,,ar-Riyaaḍ,Riyadh (place name),Noun,,,N/A,
وقت,,waqt,Time,Noun,,,Both,
الكهرباء,,al-kahrabaʾ,The electricity,Noun,,,Both,
كتب,,kutub,Books,Noun,,,Both,
كتاب,,kitaab,Book,Noun,,,Both,
فراغ,,faraagh,Emptiness / free time,Noun,,,Both,
وقت الفراغ,,waqt il-faraagh,Free time,Noun,,,Saudi,
رسالة,,risaalah,Message,Noun,,,Both,
رسالتك,,risaaltak,Your message,Noun,,,Saudi,
السوق,,as-suuq,The market,Noun,,,Both,
جدتي,,jaddati,My grandmother,Noun,,,Saudi,
جدة,,jaddah,Grandmother,Noun,,,Both,
اسمك,,ismak,Your name,Noun,,,Both,
اسم,,ism,Name,Noun,,,Both,
الجامعة,,al-jaamiʿah,The university,Noun,,,Both,
الدوام,,ad-dawaam,The work (place),Noun,,,Saudi,
شي,,shay,Thing / something,Noun,,,Both,
مزاج,,mazaaj,Mood,Noun,,,Both,
مطعم,,maṭʿam,Restaurant,Noun,,,Both,
أهل,,ahl,Family,Noun,,,Both,
أهلي,,ahli,My family,Noun,,,Saudi,
مكان,,makaan,Place / somewhere,Noun,,,Both,
طريقة,,ṭareeqah,Way / method,Noun,,,Both,
الله,,Allah,God,Noun,,,Both,
الأسبوع,,al-usbooʿ,The week,Noun,,,Both,
الأسبوع الجاي,,al-usbooʿ al-jaay,Next week,Noun,,,Saudi,
الطريق,,aṭ-ṭareeq,The way,Noun,,,Both,
دقيقة,,daqeeqah,Minute,Noun,,,Both,
عشرين دقيقة,,ʿishreen daqeeqah,Twenty minutes,Noun,,,Both,
مرة,,marrah,Once / time (as in 'first time'),Noun,,,Both,
المزاج,,al-mazaaj,The mood,Noun,,,Both,
الصورة,,aṣ-ṣoorah,The photo,Noun,,,Both,
واتساب,,WhatsApp,WhatsApp,Noun,,,N/A,
موعد,,mawʿid,Appointment,Noun,,,Both,
التأخير,,at-taʾkheer,Being late / delay,Noun,,,Both,
الحقيقة,,al-ḥaqeeqah,The reality / fact,Noun,,,Both,
الحين,,alḥeen,Now,Noun,,,Saudi,
كون,,kawn,Being / state,Noun,,,Both,
جو,,jaww,Atmosphere / vibe / weather,Noun,,,Saudi,
الجو,,al-jaww,The weather / atmosphere,Noun,,,Both,
الأجانب,,al-ajaanib,The foreigners,Noun,,,Both,
واحد,,waaḥid,One / someone,Noun,,,Both,
الأكل الإيطالي,,al-akl al-iṭaali,Italian food,Noun,,,N/A,
افتخار,,iftikhār,Pride / honor,Noun,,,Both,
قلبي,,qalbi,My heart,Noun,,,Both,
قلب,,qalb,Heart,Noun,,,Both,
شروق,,shurūq,Sunrise,Noun,,,Both,
جمال,,jamāl,Beauty / Jamal (name),Noun,,,Both,
ارتياح,,irtiyaaḥ,Ease / comfort,Noun,,,Both,
لحظة,,laḥẓah,Moment,Noun,,,Both,
يوم,,yawm,Day,Noun,,,Both,
عالي,,3aali,High / loud,Adjective,,,Both,
فاضي,,faadi,Empty,Adjective,,,Both,
غلط,,ghalat,Wrong,Adjective,,,Both,
تعبان,,taʿbaan,Tired,Adjective,,,Both,
عربي,,ʿArabi,Arabic,Adjective,,,Both,
موجود,,mawjood,Present / existing / available,Adjective,,,Both,
صحيح,,ṣaḥeeḥ,Correct,Adjective,,,Both,
رهيب,,raheeb,Awesome / amazing,Adjective,,,Saudi,
طبيعي,,ṭabiiʿi,Normal,Adjective,,,Both,
مو طبيعي,,mo ṭabiiʿi,Not normal / crazy / wild,Adjective,,,Saudi,
جائع,,jaaʾiʿ,Hungry,Adjective,,,MSA,
جوعان,,juuʿaan,Hungry,Adjective,,,Saudi,
هادي,,haadi,Quiet / calm,Adjective,,,Both,
جديد,,jadeed,New,Adjective,,,Both,
متأكد,,mutaʾakkid,Sure,Adjective,,,Both,
مبسوط,,mabsooṭ,Happy / pleased,Adjective,,,Saudi,
مختلفة,,mukhtalifah,Different (feminine),Adjective,,,Both,
صريح,,ṣareeḥ,Honest,Adjective,,,Both,
عادي,,ʿaadi,Normal / okay / fine,Adjective,,,Both,
جميل,,jameel,Beautiful,Adjective,,,Both,
بسيط,,baseeṭ,Simple,Adjective,,,Both,
مستحيل,,mustaḥeel,Impossible,Adjective,,,Both,
حلو,,ḥilw,Nice / sweet,Adjective,,,Both,
أحلى,,aḥla,Most beautiful,Adjective,,,Both,
غريب,,ghareeb,Strange / stranger,Adjective,,,Both,
متأخر,,mitaʾakhkher,Late,Adjective,,,Both,
هو,,Huwwa,He,Pronoun,Personal,,Both,
إحنا,,Ihna,We,Pronoun,Personal,,Saudi,
هم,,Humma,They,Pronoun,Personal,,Saudi,
أنا,,Ana,I,Pronoun,Personal,,Both,
هي,,Hiyya,She,Pronoun,Personal,,Both,
أنت,,Anta,You (masculine singular),Pronoun,Personal,,MSA,
إنت,,Inta,You (masculine singular),Pronoun,Personal,,Saudi,
هذا,,Haada,This (masculine singular),Pronoun,Demonstrative,,Both,
هذي,,Haadhi,This (feminine singular),Pronoun,Demonstrative,,Saudi,
أحد,,Ahad,Anyone / someone / no one (with negation),Pronoun,Indefinite,,Both,
-ي,,-i/-ni,My / me,Pronoun,Possessive / Object,,Both,
-ك,,-k,Your / you,Pronoun,Possessive / Object,,Both,
-ها,,-ha,Her,Pronoun,Possessive / Object,,Both,
-ه,,-uh / -h,His / him / it,Pronoun,Possessive / Object,,Both,
-نا,,-na,Our / us,Pronoun,Possessive / Object,,Both,
-يّ,,-ayya,On me,Pronoun,Object + Preposition fusion,,Saudi,
-لك,,-lak,To you,Pronoun,Preposition + Object,,Saudi,
مع,,ma3 / maʿa,With,Preposition,,,Both,
عن,,3ann / ʿan,About,Preposition,,,Both,
بـ,,bi-,With / by / in,Preposition,,,Both,
لـ,,li-,To / for,Preposition,,,Both,
قبل,,qabil,Before,Preposition,,,Both,
قبل ما,,qabil maa,Before (followed by verb),Preposition,,,Saudi,
بعد,,baʿd,After / in (time),Preposition,,,Both,
إلى,,ila,To (formal),Preposition,,,MSA,
من,,min,From / by,Preposition,,,Both,
في,,fi,In / at,Preposition,,,Both,
فيه,,fih,In it,Preposition,,,Saudi,
عليها,,ʿalayha,On her,Preposition,,,Both,
عليك,,ʿalayk,On you,Preposition,,,Both,
على,,ʿala,On / to / about,Preposition,,,Both,
لا,,Laa,Don’t / Not,Connector / Adverb / Particle,Negator (Imperative / Simple),,Both,
ما,,Maa,Not,Connector / Adverb / Particle,Negator (Past / Ongoing),,Both,
مو,,Moo,Not,Connector / Adverb / Particle,Negator (Casual / Hejazi/Gulf),,Saudi,
كذا,,Kida,Like that / this way / so,Connector / Adverb / Particle,Adverb,,Saudi,
قاعد,,qaaʿid,"Continuous marker (literally ""sitting"")",Connector / Adverb / Particle,Particle,,Saudi,
ممكن,,Mumkin,Maybe / Might / Possible,Connector / Adverb / Particle,Adverb / Modal,,Both,
إنه,,Innu,That,Connector / Adverb / Particle,Connector,,Saudi,
إن,,Inn,That,Connector / Adverb / Particle,Connector,,Saudi,
إنك,,Innak,That,Connector / Adverb / Particle,Connector,,Saudi,
و,,wu / w-,And,Connector / Adverb / Particle,Connector,,Both,
بس,,Bas,But,Connector / Adverb / Particle,Connector,,Both,
لو,,Law,If,Connector / Adverb / Particle,Connector,,Both,
حـ / بـ,,ḥa- / bi-,Will (Future marker),Connector / Adverb / Particle,Prefix,,Saudi,
وبعدين,,w-baʿdayn,And then / later,Connector / Adverb / Particle,Connector,,Saudi,
عشان,,ʿashaan,Because,Connector / Adverb / Particle,Connector,,Saudi,
عشان كذا,,ʿashaan kida,So / therefore / that’s why,Connector / Adverb / Particle,Phrase/Connector,,Saudi,
اللي,,Al-li / Illi,That which / what,Connector / Adverb / Particle,Connector,,Saudi,
وش,,Wesh,What (colloquial question),Connector / Adverb / Particle,Question Word,,Saudi,
إيش,,Ish / Esh,What (colloquial question - variant),Connector / Adverb / Particle,Question Word,,Saudi,
مين,,Miin,Who,Connector / Adverb / Particle,Question Word,,Both,
كيف,,Keef,How,Connector / Adverb / Particle,Question Word,,Both,
إذا,,idha,If / When (conditional),Connector / Adverb / Particle,,,Both,
يعني,,yaʿni,Like / means (filler word),Connector / Adverb / Particle,Particle / Filler,,Both,
بعد,,baʿd,Also (variant),Connector / Adverb / Particle,Adverb,,Saudi,
برضو,,barḍu,Also (variant),Connector / Adverb / Particle,Adverb,,Saudi,
يمكن,,yumkin,Maybe / perhaps,Connector / Adverb / Particle,Adverb / Modal,,Both,
شوية,,shwayyah,A little bit,Connector / Adverb / Particle,Adverb,,Saudi,
شوي,,shway,A little bit,Connector / Adverb / Particle,Adverb,,Saudi,
لما,,lamma,When (temporal connector),Connector / Adverb / Particle,,,Both,
دايمًا,,dayman,Always,Connector / Adverb / Particle,Adverb,,Both,
أحيانًا,,aḥyaanan,Sometimes,Connector / Adverb / Particle,Adverb,,Both,
نادراً,,Naadiran,Rarely,Connector / Adverb / Particle,Adverb,,Both,
كثير,,kathiir,A lot / often,Connector / Adverb / Particle,Adverb / Adjective,,Both,
خصوصاً,,khuṣooṣan,Especially / in particular,Connector / Adverb / Particle,Adverb,,Both,
بالذات,,bil-dhaat,Especially / in particular,Connector / Adverb / Particle,Phrase/Adverb,,Both,
فجأة,,fajʾah,Suddenly,Connector / Adverb / Particle,Adverb,,Both,
هناك,,hinaak,There,Connector / Adverb / Particle,,,Both,
هنا,,hina,Here,Connector / Adverb / Particle,,,Both,
برّا,,barra,Outside,Connector / Adverb / Particle,,,Saudi,
الواقت,,al-waqt,The time,Connector / Adverb / Particle,,,Both,
بسرعة,,bisurʿah,Fast,Connector / Adverb / Particle,Phrase/Adverb,,Both,
أثناء,,athnaaʾ,During (formal),Connector / Adverb / Particle,,,MSA,
خلال,,khilāl,During (formal),Connector / Adverb / Particle,,,MSA,
غالبًا,,ghāliban,Often (formal),Connector / Adverb / Particle,,,MSA,
جداً,,jiddan,Very (formal),Connector / Adverb / Particle,,,MSA,
خارج,,khārij,Outside (formal),Connector / Adverb / Particle,,,MSA,
قبل قليل,,qabil qalīl,A little while ago (formal),Connector / Adverb / Particle,,,MSA,
تمامًا,,tamāman,Exactly (formal),Connector / Adverb / Particle,,,Both,
ما شاء الله,,ma shaa' Allah,Wow / That’s impressive / Polite admiration,Interjection & Greeting,,,Both,
ايه,,eeh,Yeah / Yep,Interjection & Greeting,,,Saudi,
تمام,,tamaam,Alright / Okay / Cool / Nice,Interjection & Greeting,,,Saudi,
خلاص,,khalaas,Alright / It's settled,Interjection & Greeting,,,Saudi,
الصراحة,,aṣ-ṣaraaḥah,"Well, actually / To be honest",Interjection & Greeting,,,Both,
صدق؟,,ṣidq?,Really? (casual),Interjection & Greeting,,,Saudi,
مستحيل!,,mustaḥeel!,No way! / Impossible!,Interjection & Greeting,,,Both,
عادي,,ʿaadi,That’s fine / normal / okay,Interjection & Greeting,,,Both,
العفو,,al-ʿafw,You’re welcome,Interjection & Greeting,,,Both,
أبد,,abad,Not at all,Interjection & Greeting,,,Both,
ولا يهمك,,wala yihimmak,Don’t worry,Interjection & Greeting,,,Both,
يا سلام,,ya salaam,Wow / Amazing (expression of admiration),Interjection & Greeting,,,Both,
أهلًا وسهلًا,,ahlan wa sahlan,Welcome,Interjection & Greeting,,,Both,
يا هلا,,ya hala,Welcome (casual),Interjection & Greeting,,,Saudi,
سلام,,salaam,Peace / Hello,Interjection & Greeting,,,Both,
مرحبًا,,marḥaban,Hello / Welcome,Interjection & Greeting,,,Both,
يا نور,,ya nur,O light (affectionate address),Interjection & Greeting,,,Both,
سمي,,sammi,Go ahead / Welcome (Najdi phrase),Interjection & Greeting,,,Saudi,
